_id,title,Word Match
640c28b24ddb9876ac04fb97,reader/writer w/generated numbers,No
640c28b24ddb9876ac04fb98,how to maintain anonymity using cell phone,No
640c28b24ddb9876ac04fb99,Anonymus Browsing,No
640c28b24ddb9876ac04fb9a,AD Domain Admin Creds Price?,No
640c28b24ddb9876ac04fb9b,Where do you find Arms dealers?,No
640c28b24ddb9876ac04fb9c,"new to game,looking to work",No
640c28b24ddb9876ac04fb9d,ChatGPT account creation,No
640c28b24ddb9876ac04fb9e,How to crack wi-fi,No
640c28b24ddb9876ac04fb9f,"Why is the ""Basic Challenge"" page not working?",No
640c28b24ddb9876ac04fba0,Prepaid SIM Cards,No
640c28b24ddb9876ac04fba1,is the dark web dead ?,No
640c28b24ddb9876ac04fba2,Drug formus and other questions,No
640c28b24ddb9876ac04fba3,Crdforum and python help needed!,No
640c28b24ddb9876ac04fba4,ssn lookup?,No
640c28b24ddb9876ac04fba5,WIFI signal booster w/o tracking,No
640c28b24ddb9876ac04fba6,kick-ass forum,No
640c28b24ddb9876ac04fba7,Wifite question,No
640c28b24ddb9876ac04fba8,Escape the 9-5 Rat Race. Make Easy Fast and Anonymous Crypto from Carding.,No
640c28b24ddb9876ac04fba9,refund,No
640c28b24ddb9876ac04fbaa,Cyberjagu's Escrow Service,No
640c28b24ddb9876ac04fbab,Advise about how to start hacking,Yes
640c28b24ddb9876ac04fbac,How to properly Format your Threads,No
640c28b24ddb9876ac04fbad,[Official] Another Change To Applications,No
640c28b24ddb9876ac04fbae,Reminder on Direct-Dealing,No
640c28b24ddb9876ac04fbaf,[Official] Forum Access,No
640c28b24ddb9876ac04fbb0,Searching for good hacking Jobs.,Yes
640c28b24ddb9876ac04fbb1,"Telegram....@Taichicanaa WE HAVE THE FOLLOW ORDER Western Union,Bank Transfer,Paypal",No
640c28b24ddb9876ac04fbb2,Need help for pp logs,No
640c28b24ddb9876ac04fbb3,Spamming,Yes
640c28b24ddb9876ac04fbb4,I have really good method for getting CC,No
640c28b24ddb9876ac04fbb5,what do you think of my method?,No
